Date,LMT,NOC
2016-11-14,212.09336853027344,218.18751525878906
2016-11-15,211.05368041992188,214.99874877929688
2016-11-16,209.00616455078125,213.20895385742188
2016-11-17,208.95053100585938,212.5746612548828
2016-11-18,208.7997589111328,213.26974487304688
2016-11-21,209.06161499023438,213.99093627929688
2016-11-22,210.04574584960938,215.53746032714844
2016-11-23,209.83938598632812,215.1204376220703
2016-11-25,211.0457305908203,215.98056030273438
2016-11-28,211.05368041992188,216.31072998046875
2016-11-29,213.02748107910156,218.77835083007812
2016-11-30,211.96469116210938,216.91026306152344
2016-12-01,212.8836212158203,217.1893310546875
2016-12-02,213.85858154296875,218.75889587402344
2016-12-05,213.30715942382812,215.81158447265625
2016-12-06,212.56399536132812,216.11676025390625
2016-12-07,212.86769104003906,215.50633239746094
2016-12-08,207.17005920410156,207.2921142578125
2016-12-09,207.39376831054688,207.91122436523438
2016-12-12,202.263427734375,202.3652801513672
2016-12-13,201.12872314453125,201.92056274414062
2016-12-14,201.61618041992188,202.3914794921875
2016-12-15,200.29763793945312,202.2955322265625
2016-12-16,199.84213256835938,202.04266357421875
2016-12-19,201.520263671875,203.64712524414062
2016-12-20,202.75892639160156,205.04234313964844
2016-12-21,201.79196166992188,203.30709838867188
2016-12-22,202.0157012939453,203.80406188964844
2016-12-23,199.4506072998047,203.1675567626953
2016-12-27,200.4654541015625,203.38555908203125
2016-12-28,199.44259643554688,202.2606201171875
2016-12-29,200.24972534179688,202.8536376953125
2016-12-30,199.73025512695312,202.80999755859375
2017-01-03,202.42324829101562,204.82437133789062
2017-01-04,202.96664428710938,205.13829040527344
2017-01-05,204.55694580078125,205.78355407714844
2017-01-06,206.05126953125,206.42877197265625
2017-01-09,206.0192413330078,205.6265869140625
2017-01-10,204.70880126953125,203.27218627929688
2017-01-11,203.8776397705078,201.91184997558594
2017-01-12,201.87184143066406,199.81900024414062
2017-01-13,203.39816284179688,200.70848083496094
2017-01-17,203.0705108642578,199.23483276367188
2017-01-18,203.0305938720703,200.76953125
2017-01-19,205.39601135253906,202.6443634033203
2017-01-20,205.95533752441406,202.40016174316406
2017-01-23,205.75558471679688,202.033935546875
2017-01-24,202.1036376953125,202.8187713623047
2017-01-25,200.5773162841797,201.29270935058594
2017-01-26,203.74981689453125,197.9093780517578
2017-01-27,202.5751190185547,200.41201782226562
2017-01-30,202.03973388671875,200.1068115234375
2017-01-31,200.84107971191406,199.7580108642578
2017-02-01,200.49740600585938,199.53128051757812
2017-02-02,201.35244750976562,200.429443359375
2017-02-03,203.3422393798828,201.7461700439453
2017-02-06,204.02149963378906,203.01934814453125
2017-02-07,204.86856079101562,203.1588134765625
2017-02-08,205.1642303466797,202.6704559326172
2017-02-09,206.33094787597656,204.78074645996094
2017-02-10,208.20883178710938,206.01022338867188
2017-02-13,209.64727783203125,208.47802734375
2017-02-14,209.81507873535156,208.94891357421875
2017-02-15,210.53424072265625,210.66671752929688
2017-02-16,212.0286407470703,212.35842895507812
2017-02-17,212.04457092285156,212.4020538330078
2017-02-21,212.29229736328125,212.8729248046875
2017-02-22,212.5000762939453,211.87879943847656
2017-02-23,211.64500427246094,212.64620971679688
2017-02-24,212.56399536132812,213.68386840820312
2017-02-27,216.73191833496094,216.779541015625
2017-02-28,214.4950714111328,215.4627685546875
2017-03-01,215.94345092773438,214.4512176513672
2017-03-02,214.8249969482422,212.73587036132812
2017-03-03,215.44456481933594,212.61329650878906
2017-03-06,215.412353515625,212.60455322265625
2017-03-07,216.47445678710938,213.357177734375
2017-03-08,215.412353515625,213.17343139648438
2017-03-09,216.18475341796875,213.65481567382812
2017-03-10,216.168701171875,213.19091796875
2017-03-13,216.59518432617188,213.91732788085938
2017-03-14,215.63768005371094,213.34848022460938
2017-03-15,216.79627990722656,213.40977478027344
2017-03-16,215.58935546875,210.29403686523438
2017-03-17,218.8400115966797,213.7685546875
2017-03-20,218.88027954101562,212.66578674316406
2017-03-21,216.44227600097656,209.80392456054688
2017-03-22,216.7802276611328,211.04669189453125
2017-03-23,216.84461975097656,209.61134338378906
2017-03-24,215.17103576660156,207.3183135986328
2017-03-27,214.96173095703125,206.3993682861328
2017-03-28,216.538818359375,207.58966064453125
2017-03-29,215.83071899414062,207.00326538085938
